datetime,ia
2016-08-21,30.87071
2016-08-22,36.80738
2016-08-23,32.98153
2016-08-24,33.90501
2016-08-25,30.60686
2016-08-26,20.44854
2016-08-27,18.46965
2016-08-28,19.26121
2016-08-29,18.7335
2016-08-30,19.26121
2016-08-31,18.7335
2016-09-01,20.7124
2016-09-02,20.05277
2016-09-03,19.39313
2016-09-04,21.76781
2016-09-05,21.10817
2016-09-06,18.46965
2016-09-07,20.44854
2016-09-08,19.26121
2016-09-09,19.92084
2016-09-10,16.75461
2016-09-11,21.89973
2016-09-12,13.72031
2016-09-13,18.7335
2016-09-14,15.43535
2016-09-15,12.53298
2016-09-16,14.51187
2016-09-17,17.01846
2016-09-18,17.6781
2016-09-19,18.7335
2016-09-20,18.60158
2016-09-21,21.2401
2016-09-22,15.6992
2016-09-23,13.98416
2016-09-24,15.30343
2016-09-25,15.43535
2016-09-26,18.07387
2016-09-27,15.6992
2016-09-28,16.62269
2016-09-29,13.06068
2016-09-30,13.32453
2016-10-01,10.42216
2016-10-02,12.26912
2016-10-03,18.99736
2016-10-04,17.6781
2016-10-05,16.09498
2016-10-06,17.41424
2016-10-07,13.85224
2016-10-08,10.29023
2016-10-09,10.68601
2016-10-10,10.02638
2016-10-11,10.29023
2016-10-12,11.34564
2016-10-13,12.26912
2016-10-14,15.1715
2016-10-15,11.60949
2016-10-16,10.81794
2016-10-17,15.30343
2016-10-18,13.45646
2016-10-19,15.96306
2016-10-20,13.58839
2016-10-21,12.53298
2016-10-22,10.29023
2016-10-23,11.08179
2016-10-24,12.92875
2016-10-25,11.74142
2016-10-26,10.15831
2016-10-27,10.02638
2016-10-28,9.1029
2016-10-29,6.99208
2016-10-30,8.70712
2016-10-31,10.29023
2016-11-01,6.99208
2016-11-02,8.97097
2016-11-03,6.72823
2016-11-04,7.12401
2016-11-05,7.51978
2016-11-06,9.6306
2016-11-07,8.83905
2016-11-08,8.44327
2016-11-09,9.76253
2016-11-10,8.97097
2016-11-11,6.99208
2016-11-12,6.99208
2016-11-13,10.68601
2016-11-14,12.6649
2016-11-15,6.5963
2016-11-16,9.76253
2016-11-17,8.70712
2016-11-18,9.49868
2016-11-19,9.23482
2016-11-20,10.29023
2016-11-21,9.36675
2016-11-22,9.1029
2016-11-23,8.70712
2016-11-24,10.29023
2016-11-25,9.1029
2016-11-26,7.65171
2016-11-27,10.02638
2016-11-28,11.08179
2016-11-29,10.15831
2016-11-30,11.60949
2016-12-01,8.57519
2016-12-02,7.91556
2016-12-03,8.57519
2016-12-04,10.94986
2016-12-05,10.42216
2016-12-06,10.94986
2016-12-07,11.21372
2016-12-08,12.00527
2016-12-09,9.36675
2016-12-10,9.89445
2016-12-11,11.74142
2016-12-12,10.29023
2016-12-13,9.76253
2016-12-14,6.72823
2016-12-15,7.25593
2016-12-16,7.78364
2016-12-17,6.5963
2016-12-18,6.86015
2016-12-19,10.29023
2016-12-20,7.91556
2016-12-21,11.34564
2016-12-22,7.65171
2016-12-23,8.57519
2016-12-24,6.5963
2016-12-25,6.0686
2016-12-26,9.1029
2016-12-27,9.1029
2016-12-28,8.57519
2016-12-29,8.04749
2016-12-30,9.1029
2016-12-31,8.31134
2017-01-01,6.46437
2017-01-02,10.68601
2017-01-03,12.26912
2017-01-04,12.40105
2017-01-05,11.47757
2017-01-06,9.89445
2017-01-07,10.94986
2017-01-08,14.11609
2017-01-09,12.53298
2017-01-10,11.34564
2017-01-11,12.00527
2017-01-12,11.74142
2017-01-13,8.70712
2017-01-14,6.33245
2017-01-15,6.99208
2017-01-16,10.15831
2017-01-17,11.34564
2017-01-18,11.60949
2017-01-19,13.85224
2017-01-20,9.49868
2017-01-21,11.21372
2017-01-22,10.42216
2017-01-23,7.78364
2017-01-24,10.81794
2017-01-25,10.68601
2017-01-26,7.51978
2017-01-27,7.38786
2017-01-28,7.65171
2017-01-29,9.23482
2017-01-30,14.37994
2017-01-31,10.02638
2017-02-01,13.85224
2017-02-02,10.68601
2017-02-03,9.89445
2017-02-04,11.47757
2017-02-05,12.40105
2017-02-06,13.32453
2017-02-07,15.1715
2017-02-08,11.47757
2017-02-09,15.1715
2017-02-10,11.34564
2017-02-11,11.74142
2017-02-12,11.87335
2017-02-13,13.72031
2017-02-14,11.08179
2017-02-15,12.40105
2017-02-16,15.6992
2017-02-17,11.08179
2017-02-18,11.34564
2017-02-19,13.58839
2017-02-20,11.47757
2017-02-21,13.98416
2017-02-22,15.1715
2017-02-23,12.40105
2017-02-24,12.53298
2017-02-25,11.74142
2017-02-26,15.43535
2017-02-27,12.92875
2017-02-28,17.6781
2017-03-01,15.30343
2017-03-02,13.72031
2017-03-03,15.56728
2017-03-04,17.41424
2017-03-05,17.54617
2017-03-06,13.06068
2017-03-07,14.24802
2017-03-08,12.26912
2017-03-09,16.22691
2017-03-10,16.62269
2017-03-11,14.51187
2017-03-12,15.43535
2017-03-13,20.18469
2017-03-14,17.81002
2017-03-15,21.10817
2017-03-16,19.39313
2017-03-17,17.81002
2017-03-18,17.01846
2017-03-19,18.07387
2017-03-20,19.39313
2017-03-21,22.29551
2017-03-22,19.12928
2017-03-23,18.60158
2017-03-24,18.07387
2017-03-25,17.6781
2017-03-26,17.41424
2017-03-27,16.75461
2017-03-28,19.78891
2017-03-29,22.69129
2017-03-30,24.2744
2017-03-31,18.2058
2017-04-01,16.22691
2017-04-02,22.42744
2017-04-03,24.80211
2017-04-04,26.25329
2017-04-05,20.84432
2017-04-06,22.95514
2017-04-07,26.781
2017-04-08,23.35092
2017-04-09,25.98944
2017-04-10,29.28759
2017-04-11,28.49604
2017-04-12,29.28759
2017-04-13,28.75989
2017-04-14,28.62796
2017-04-15,36.67546
2017-04-16,32.98153
2017-04-17,28.89182
2017-04-18,32.8496
2017-04-19,31.66226
2017-04-20,26.38522
2017-04-21,29.28759
2017-04-22,25.46174
2017-04-23,29.94722
2017-04-24,30.07915
2017-04-25,29.41952
2017-04-26,31.66226
2017-04-27,34.03693
2017-04-28,30.21108
2017-04-29,29.28759
2017-04-30,33.77308
2017-05-01,31.26649
2017-05-02,37.86279
2017-05-03,37.33509
2017-05-04,38.25857
2017-05-05,29.28759
2017-05-06,28.89182
2017-05-07,29.28759
2017-05-08,30.343
2017-05-09,27.3087
2017-05-10,25.32981
2017-05-11,30.07915
2017-05-12,24.93403
2017-05-13,27.70448
2017-05-14,31.92612
2017-05-15,35.3562
2017-05-16,34.82849
2017-05-17,38.3905
2017-05-18,45.51451
2017-05-19,47.22955
2017-05-20,38.65435
2017-05-21,37.46701
2017-05-22,48.15303
2017-05-23,42.34828
2017-05-24,43.27176
2017-05-25,39.84168
2017-05-26,35.8839
2017-05-27,35.22427
2017-05-28,35.3562
2017-05-29,54.0897
2017-05-30,54.35356
2017-05-31,43.53562
2017-06-01,46.04221
2017-06-02,40.36939
2017-06-03,35.22427
2017-06-04,36.27968
2017-06-05,45.25065
2017-06-06,30.73878
2017-06-07,29.28759
2017-06-08,38.12664
2017-06-09,34.82849
2017-06-10,31.92612
2017-06-11,34.82849
2017-06-12,38.3905
2017-06-13,38.9182
2017-06-14,41.68865
2017-06-15,46.83377
2017-06-16,46.83377
2017-06-17,41.16094
2017-06-18,45.91029
2017-06-19,49.60422
2017-06-20,45.77836
2017-06-21,51.31926
2017-06-22,48.15303
2017-06-23,48.81266
2017-06-24,36.14775
2017-06-25,34.82849
2017-06-26,39.84168
2017-06-27,42.08443
2017-06-28,43.66754
2017-06-29,42.08443
2017-06-30,42.87598
2017-07-01,38.3905
2017-07-02,41.55672
2017-07-03,42.87598
2017-07-04,45.51451
2017-07-05,46.30606
2017-07-06,47.88918
2017-07-07,34.43271
2017-07-08,31.39841
2017-07-09,36.67546
2017-07-10,34.56464
2017-07-11,58.70712
2017-07-12,56.5963
2017-07-13,56.99208
2017-07-14,54.35356
2017-07-15,31.92612
2017-07-16,48.41688
2017-07-17,54.22163
2017-07-18,50.39577
2017-07-19,53.95778
2017-07-20,60.68601
