datetime,americano,cafelatte,cafemoca,caramelmatk,icedamericano,weather_avgtemp,weather_avgmoist,weather_avgwindspeed,weather_rain,weather_maxtemp,weather_maxwindspeed,weather_mintemp
2016-07-31,31.62734,17.67293,14.79408,23.79048,10.59576,28.12037037,79.23076923,1.183333333,1.281481481,33.00185185,3.975925926,25.11851852
2016-08-01,32.58696,19.83206,15.55377,25.06997,12.11515,27.30555556,79.71794872,1.131481481,1.677777778,32.09444444,3.540740741,24.50925926
2016-08-02,35.70571,20.91163,15.83366,26.70931,11.2355,26.54444444,80.33333333,0.962962963,6.796296296,31.2037037,4.085185185,23.44444444
2016-08-03,36.14554,21.39144,16.2335,26.46941,11.91523,28.21666667,72.15384615,1.075925926,0.009259259,33.8,2.862962963,23.25740741
2016-08-04,36.94522,22.2311,15.95361,28.10875,12.31507,29.24444444,71.1025641,1.074074074,0,35.0037037,2.781481481,24.5
2016-08-05,36.54538,18.91243,13.9944,25.9896,13.39464,29.66666667,69.43589744,1.109259259,0,35.59444444,2.811111111,24.73148148
2016-08-06,41.26349,18.11275,14.15433,21.19152,10.95561,29.52962963,72.82051282,1.12962963,0.268518519,34.81481481,3.146296296,25.03703704
2016-08-07,38.06477,18.71251,13.59456,25.9896,13.87445,29.49444444,66.84615385,1.298148148,0.001851852,34.6462963,3.27962963,25.44259259
2016-08-08,40.62375,20.63174,15.75369,26.10955,14.43422,29.20943396,71.92307692,1.260377358,0.396226415,34.99622642,3.69245283,24.63396226
2016-08-09,39.50419,20.91163,14.79408,28.62854,14.03438,28.58490566,74.33333333,1.330188679,3.945283019,33.91320755,3.443396226,25.00754717
2016-08-10,38.50459,21.47141,14.79408,26.02958,13.15473,28.78076923,72.07692308,1.340384615,0,33.96153846,3.375,24.86923077
2016-08-11,38.34466,20.95161,15.55377,25.66973,14.31427,29.47358491,70.64102564,1.245283019,0,35.59245283,3.377358491,24.41509434
2016-08-12,34.50619,20.15193,16.59336,25.46981,13.19472,29.3537037,74.20512821,1.325925926,0,35.01481481,3.253703704,24.91481481
2016-08-13,34.38624,19.75209,12.59496,23.63054,11.71531,29.41296296,73.69230769,1.516666667,0,34.69814815,3.605555556,25.55925926
2016-08-14,34.30627,19.27229,14.87405,26.06957,11.19552,28.26851852,82.28205128,1.227777778,2.846296296,32.10740741,3.5,26.01296296
2016-08-15,33.86645,20.95161,15.59376,26.78928,12.95481,28.58867925,72.44736842,1.230188679,0,33.80566038,3.518867925,25.07169811
2016-08-16,39.62415,20.51179,15.67373,26.54938,12.03518,28.78679245,69.84210526,1.279245283,0.311320755,34.53962264,3.796226415,24.7490566
2016-08-17,37.70491,20.03198,14.19432,29.70811,11.95521,28.64259259,70,1.177777778,0.07962963,34.27592593,3.227777778,24.15555556
2016-08-18,36.42542,19.55217,15.11395,26.70931,12.39504,28.63148148,71.74358974,1.042592593,0.462962963,34.14814815,2.922222222,24.66666667
2016-08-19,36.30547,19.07237,15.87365,26.86925,11.07556,28.74259259,74.02564103,1.046296296,0.762962963,32.92777778,2.994444444,25.56111111
2016-08-20,34.18632,19.03238,16.75329,27.2291,8.55657,29.50740741,66.58974359,1.296296296,0,34.73518519,3.109259259,25.93148148
2016-08-21,36.10555,22.35105,16.43342,27.66893,9.35625,29.41481481,65.92307692,1.27962963,0.2,35.28333333,3.118518519,25.71296296
2016-08-22,38.50459,20.11195,14.19432,28.94842,11.15553,29.00925926,68.33333333,1.333333333,0.807407407,34.64259259,3.37962963,24.42037037
2016-08-23,40.54378,20.91163,16.47341,28.02878,9.996,27.96851852,71.8974359,1.372222222,2.185185185,33.12962963,3.533333333,24.63518519
2016-08-24,38.58456,20.2319,15.19392,25.02998,10.27588,28.1962963,67.17948718,1.218518519,0.505555556,32.91296296,2.838888889,24.93333333
2016-08-25,33.82646,19.43222,14.55417,27.42902,9.27628,26.6962963,74.05128205,1.403703704,3.833333333,32.75555556,4.011111111,22.65555556
2016-08-26,31.02758,18.31267,15.71371,25.54978,6.19752,22.19433962,66.10526316,2.288679245,15.98490566,27.3245283,5.022641509,18.2
2016-08-27,30.34786,21.11155,14.67413,26.06957,5.59776,22.36296296,53.20512821,1.942592593,0.018518519,28.44259259,4.157407407,15.18333333
2016-08-28,33.66653,20.79168,18.31267,29.42822,5.83766,20.47777778,69.94871795,2.057407407,2.661111111,24.38333333,4.751851852,17.8037037
2016-08-29,30.9876,18.95241,14.03438,24.99,5.67772,21.32407407,64.92307692,1.677777778,0.125925926,26.63148148,4.092592593,16.63518519
2016-08-30,33.2267,21.71131,17.79288,27.70891,5.83766,20.41851852,67.69230769,2.083333333,0.02037037,24.86851852,4.661111111,16.67962963
2016-08-31,31.86725,25.82966,17.71291,27.42902,5.67772,18.1537037,85.1025641,2.951851852,21.86851852,20.48888889,5.672222222,16.29814815
2016-09-01,33.90643,21.43142,14.59416,28.14874,6.27748,23.13703704,71.70731707,2.216666667,0.244444444,29.18888889,6.396296296,15.6962963
2016-09-02,54.25829,24.75009,16.43342,27.46901,6.07756,23.60555556,73.94871795,2.111111111,6.742592593,28.66296296,4.701851852,19.47222222
2016-09-03,35.02598,21.71131,17.55297,26.14954,5.87764,23.6037037,78.56410256,1.212962963,0.318518519,28.67592593,2.988888889,20.40925926
2016-09-04,33.14674,23.39064,17.2331,30.58776,6.59736,24.99245283,78.23684211,1.09245283,0.075471698,29.4754717,2.852830189,20.99245283
2016-09-05,35.90563,21.39144,15.63374,26.7493,6.39744,25.61568627,73.86111111,1.201960784,0.009803922,30.82156863,3.48627451,21.79607843
2016-09-06,39.62415,22.2311,17.95281,27.34906,5.59776,23.85660377,77.05263158,1.258490566,0,28.79433962,3.39245283,19.72830189
